更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://106.118.75.108:4022/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://117.82.88.137:5555/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://59.175.8.151:4022/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://106.59.2.102:55555/rtp/239.200.200.2:8080$云南电信
CCTV2,http://106.118.75.108:4022/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://117.82.88.137:5555/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://59.175.8.151:4022/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://106.59.2.102:55555/rtp/239.200.200.1:8004$云南电信
CCTV3,http://106.118.75.108:4022/rtp/239.254.201.152:7205$河北省电信
CCTV3,http://117.82.88.137:5555/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://59.175.8.151:4022/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://106.59.2.102:55555/rtp/239.200.200.71:8012$云南电信
CCTV4,http://106.118.75.108:4022/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://117.82.88.137:5555/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://59.175.8.151:4022/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://106.59.2.102:55555/rtp/239.200.200.19:8216$云南电信
CCTV4欧洲,http://106.118.75.108:4022/rtp/239.254.201.205:4220$河北省电信
CCTV4欧洲,http://59.175.8.151:4022/rtp/239.69.1.231:11028$湖北电信
CCTV4欧洲,http://106.59.2.102:55555/rtp/239.200.201.180:4220$云南电信
CCTV4美洲,http://106.118.75.108:4022/rtp/239.254.201.206:4220$河北省电信
CCTV4美洲,http://59.175.8.151:4022/rtp/239.69.1.232:11034$湖北电信
CCTV4美洲,http://106.59.2.102:55555/rtp/239.200.201.181:4220$云南电信
CCTV5,http://106.118.75.108:4022/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://117.82.88.137:5555/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://59.175.8.151:4022/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://106.59.2.102:55555/rtp/239.200.200.10:9008$云南电信
CCTV5+,http://106.118.75.108:4022/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://117.82.88.137:5555/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://59.175.8.151:4022/rtp/239.254.96.234:9484$湖北电信
CCTV5+,http://106.59.2.102:55555/rtp/239.200.200.9:8004$云南电信
CCTV6,http://106.118.75.108:4022/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://117.82.88.137:5555/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://59.175.8.151:4022/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://106.59.2.102:55555/rtp/239.200.200.21:9020$云南电信
CCTV7,http://106.118.75.108:4022/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://117.82.88.137:5555/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://59.175.8.151:4022/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://106.59.2.102:55555/rtp/239.200.200.22:8024$云南电信
CCTV8,http://106.118.75.108:4022/rtp/239.254.201.155:7208$河北省电信
CCTV8,http://117.82.88.137:5555/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://59.175.8.151:4022/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://106.59.2.102:55555/rtp/239.200.200.72:9020$云南电信
CCTV9,http://106.118.75.108:4022/rtp/239.254.200.59:8112$河北省电信
CCTV9,http://117.82.88.137:5555/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://59.175.8.151:4022/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://106.59.2.102:55555/rtp/239.200.200.24:8032$云南电信
CCTV10,http://106.118.75.108:4022/rtp/239.254.200.160:6000$河北省电信
CCTV10,http://117.82.88.137:5555/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://59.175.8.151:4022/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://106.59.2.102:55555/rtp/239.200.200.107:8116$云南电信
CCTV11,http://106.118.75.108:4022/rtp/239.254.201.123:8120$河北省电信
CCTV11,http://117.82.88.137:5555/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://59.175.8.151:4022/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://106.59.2.102:55555/rtp/239.200.201.125:8480$云南电信
CCTV12,http://106.118.75.108:4022/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://117.82.88.137:5555/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://59.175.8.151:4022/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://106.59.2.102:55555/rtp/239.200.200.27:8232$云南电信
CCTV13,http://106.118.75.108:4022/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://117.82.88.137:5555/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://59.175.8.151:4022/rtp/239.254.96.161:9040$湖北电信
CCTV13,http://106.59.2.102:55555/rtp/239.200.200.4:8484$云南电信
CCTV14,http://106.118.75.108:4022/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://117.82.88.137:5555/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://59.175.8.151:4022/rtp/239.69.1.107:10280$湖北电信
CCTV14,http://106.59.2.102:55555/rtp/239.200.200.28:8236$云南电信
CCTV15,http://106.118.75.108:4022/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://117.82.88.137:5555/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://59.175.8.151:4022/rtp/239.69.1.155:10566$湖北电信
CCTV15,http://106.59.2.102:55555/rtp/239.200.201.112:8496$云南电信
CCTV16,http://117.82.88.137:5555/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://59.175.8.151:4022/rtp/239.69.1.247:11124$湖北电信
CCTV16,http://106.59.2.102:55555/rtp/239.200.200.193:8776$云南电信
CCTV16,http://106.59.2.102:55555/rtp/239.200.200.194:8780$云南电信
CCTV17,http://106.118.75.108:4022/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://117.82.88.137:5555/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://59.175.8.151:4022/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://106.59.2.102:55555/rtp/239.200.201.128:8504$云南电信
